_input,_num,_widgetName,_source,_resultNumber,_pageUrl,teams,score,odds,result,logo
,253,coversWithOT,coversWithOT,253,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2013-2014/boxscore865060.html,IND; BOS,102; 97,191; 7.5,Over: 199; Cover: +2.5,Over: 199; Cover: +2.5
,254,coversWithOT,coversWithOT,254,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2013-2014/boxscore865057.html,ORL; MIA,98; 112,14; 199,Push; Over: 210,Push; Over: 210
,255,coversWithOT,coversWithOT,255,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2013-2014/boxscore865063.html,DEN; POR,96; 102,12; 216.5,Cover: +6; Under: 198,Cover: +6; Under: 198
,256,coversWithOT,coversWithOT,256,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883101.html,POR; HOU,95; 110,198; -5,Over: 205; Cover: +10,Over: 205; Cover: +10
,257,coversWithOT,coversWithOT,257,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883099.html,DEN; CHAR,82; 110,200.5; -2.5,Under: 192; Cover: +25.5,Under: 192; Cover: +25.5
,258,coversWithOT,coversWithOT,258,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883103.html,ATL; DAL,105; 102,4; 207.5,Cover: +7; Under: 207,Cover: +7; Under: 207
,259,coversWithOT,coversWithOT,259,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883104.html,LAC; SA,118; 125,203.5; -1,Over: 243; Cover: +6,Over: 243; Cover: +6
,260,coversWithOT,coversWithOT,260,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883100.html,TOR; CHI,120; 129,200.5; -4,Over: 249; Cover: +5,Over: 249; Cover: +5
,261,coversWithOT,coversWithOT,261,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883102.html,UTA; MEM,97; 91,8; 193,Cover: +14; Under: 188,Cover: +14; Under: 188
,262,coversWithOT,coversWithOT,262,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore882777.html,UTA; DET,97; 96,3.5; 192.5,Cover: +4.5; Over: 193,Cover: +4.5; Over: 193
,263,coversWithOT,coversWithOT,263,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore882776.html,ORL; BK,96; 104,8.5; 198.5,Cover: +0.5; Over: 200,Cover: +0.5; Over: 200
,264,coversWithOT,coversWithOT,264,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore882783.html,CHAR; LAL,92; 107,202.5; 2.5,Under: 199; Cover: +17.5,Under: 199; Cover: +17.5
,265,coversWithOT,coversWithOT,265,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore882779.html,PHI; TOR,88; 120,205; -13.5,Over: 208; Cover: +18.5,Over: 208; Cover: +18.5
,266,coversWithOT,coversWithOT,266,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore882778.html,SAC; OKC,93; 101,190; 2,Over: 194; Cover: +10,Over: 194; Cover: +10
,267,coversWithOT,coversWithOT,267,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore882780.html,MIA; DAL,105; 96,8; 205,Cover: +17; Under: 201,Cover: +17; Under: 201
,268,coversWithOT,coversWithOT,268,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore882782.html,DEN; POR,100; 116,206; -9.5,Over: 216; Cover: +6.5,Over: 216; Cover: +6.5
,269,coversWithOT,coversWithOT,269,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore882870.html,WAS; MIL,111; 100,-3; 194,Cover: +8; Over: 211,Cover: +8; Over: 211
,270,coversWithOT,coversWithOT,270,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore882871.html,BK; SA,87; 99,194; -10,Under: 186; Cover: +2,Under: 186; Cover: +2
,271,coversWithOT,coversWithOT,271,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore882867.html,PHI; NY,83; 91,11; 198.5,Cover: +3; Under: 174,Cover: +3; Under: 174
,272,coversWithOT,coversWithOT,272,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore882931.html,NO; UTA,106; 94,-2.5; 199,Cover: +9.5; Over: 200,Cover: +9.5; Over: 200
,273,coversWithOT,coversWithOT,273,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore882866.html,TOR; CLE,110; 93,3; 203.5,Cover: +20; Under: 203,Cover: +20; Under: 203
,274,coversWithOT,coversWithOT,274,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore882865.html,MIA; ORL,99; 92,-1.5; 191.5,Cover: +5.5; Under: 191,Cover: +5.5; Under: 191
,275,coversWithOT,coversWithOT,275,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore882864.html,PHO; IND,106; 83,-2; 196,Cover: +21; Under: 189,Cover: +21; Under: 189
,276,coversWithOT,coversWithOT,276,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore882869.html,SAC; MIN,113; 101,-8.5; 212,Cover: +3.5; Over: 214,Cover: +3.5; Over: 214
,277,coversWithOT,coversWithOT,277,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883285.html,ATL; CHI,107; 99,-3.5; 201,Cover: +4.5; Over: 206,Cover: +4.5; Over: 206
,278,coversWithOT,coversWithOT,278,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883283.html,IND; CHAR,,71; 80,,184.5; 1.5
,279,coversWithOT,coversWithOT,279,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883287.html,POR; MEM,98; 102,197.5; -2.5,Over: 200; Cover: +1.5,Over: 200; Cover: +1.5
,280,coversWithOT,coversWithOT,280,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883284.html,PHI; DET,89; 107,195; -13,Over: 196; Cover: +5,Over: 196; Cover: +5
,281,coversWithOT,coversWithOT,281,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883288.html,WAS; BK,99; 90,-5.5; 190.5,Cover: +3.5; Under: 189,Cover: +3.5; Under: 189
,282,coversWithOT,coversWithOT,282,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883290.html,LAC; SAC,117; 108,208.5; 10,Over: 225; Cover: +1,Over: 225; Cover: +1
,283,coversWithOT,coversWithOT,283,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883218.html,CHAR; TOR,103; 95,12.5; 197,Cover: +20.5; Over: 198,Cover: +20.5; Over: 198
,284,coversWithOT,coversWithOT,284,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883220.html,MIA; POR,83; 99,196; -8.5,Under: 182; Cover: +7.5,Under: 182; Cover: +7.5
,285,coversWithOT,coversWithOT,285,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2013-2014/boxscore865088.html,HOU; ORL,101; 89,-8; 204.5,Cover: +4; Under: 190,Cover: +4; Under: 190
,286,coversWithOT,coversWithOT,286,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2013-2014/boxscore865089.html,UTA; WAS,91; 104,198.5; -8,Under: 195; Cover: +5,Under: 195; Cover: +5
,287,coversWithOT,coversWithOT,287,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2013-2014/boxscore865091.html,MEM; BK,94; 103,187; -1,Over: 197; Cover: +8,Over: 197; Cover: +8
,288,coversWithOT,coversWithOT,288,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2013-2014/boxscore865093.html,SAC; MIL,116; 102,-3.5; 205.5,Cover: +10.5; Over: 218,Cover: +10.5; Over: 218
,289,coversWithOT,coversWithOT,289,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2013-2014/boxscore865094.html,NY; MIN,118; 106,8.5; 212,Cover: +20.5; Over: 224,Cover: +20.5; Over: 224
,290,coversWithOT,coversWithOT,290,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2013-2014/boxscore865087.html,IND; CHAR,87; 109,190; 4.5,Over: 196; Cover: +26.5,Over: 196; Cover: +26.5
,291,coversWithOT,coversWithOT,291,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2013-2014/boxscore865092.html,CHI; DET,105; 94,-4; 192.5,Cover: +7; Over: 199,Cover: +7; Over: 199
,292,coversWithOT,coversWithOT,292,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2013-2014/boxscore865096.html,ATL; POR,78; 102,218.5; -9.5,Under: 180; Cover: +14.5,Under: 180; Cover: +14.5
